avgTemp,minTemp,maxTemp,fainFall,avgPrice
1.2,-6.7,7.2,0,5134
1.1,-3.9,8.9,0,5134
0.9,-5.2,8.7,0,5134
1.2,-3.7,8.8,0,5134
0.7,-3.4,8.5,0,5134
0.7,-3.3,8.6,0,5134
0.8,-2.9,7.6,0,4859
0.7,-0.7,6.3,1.3,4843
2.2,-2.9,5.5,0,4815
0.8,-4.6,3.1,0.3,4744
1.9,-4.8,4,4.5,4727
2.9,-7.2,0.7,1.9,4727
0.9,-9.8,2.5,0,4727
1,-5.5,0.9,3.4,4626
1.1,-7.3,5.6,0,4651
0.5,-6.3,7.7,1.5,4893
0.8,-0.8,4.4,3.8,4893
0.9,-3.9,8.1,0,4834
1.1,-3.8,9.7,0,4834
2.2,-2.8,11.9,0,4834
0.8,-1.4,11.6,0,4841
1,-2.6,12.4,0,4847
1.1,-2,13.7,0,4699
1.6,-0.4,16,0,4791
2.2,-0.8,10.7,0,4770
1.3,-2.7,12.8,0.1,4770
3.1,4.1,8.6,43,4770
3.4,3.4,7.2,3.8,4710
2.1,-0.4,5.6,3.2,4710
3,-3.3,4.3,0,4763
2.1,-5.4,4.1,0,4590
1.9,-4.6,6.8,0,4688
1.3,-3.8,9,0,4688
1.5,-0.6,10.8,0,4688
3,-0.1,7.6,0,4750
3.2,-2.9,9,0,4798
3.5,-2,6.7,0,4544
2.8,-3.5,8.6,0,4596
2.3,-1.5,12,0,4629
1.3,0.4,15.4,0,4629
1.3,2.4,18.1,0,4629
1.4,3.9,16.1,0,4693
4.5,-0.6,8.9,0,4761
3.6,-2.4,5.9,0,4743
1.9,-3.5,8.4,0,4846
1.5,-3.6,13.8,0,4824
2.5,4.3,16.4,0,4824
1.2,4.5,11.3,15.2,4824
2,4.1,13.1,0.6,4824
3.3,0.1,7.7,0.4,4824
2.3,-3,8.7,0,4824
2.4,-0.4,10.6,2.8,4776
2.9,-0.5,7.1,0.3,4662
1.8,-2.9,9.3,0,4662
1.5,-2.5,11.9,0,4662
1.7,1,11.9,0.4,4550
1.5,-1.2,11.2,0,4530
2.2,0.4,15.7,0,4486
1.4,1.6,19,0,4341
1.9,1.5,19.8,0,4341
1.5,4.7,14,0.1,4341
1.5,2.8,12.1,2.6,4341
1.3,1.1,15.3,0,4265
1.5,0.5,18.2,0,4073
1.8,1.3,18.9,0.7,4057
0.7,9.1,14.4,17.1,3783
2,7.1,17.4,3.3,3783
2.1,3.4,18.1,0,3783
1.4,4.5,19.9,0.5,3783
2.4,5.1,15.4,2.7,3905
2.2,1.4,18.3,0,3905
2.1,3.6,20.2,0,3961
1.6,4.3,21.2,0,3808
3.2,9.8,23.5,0.1,3708
2.2,6.1,18.8,0.1,3708
1.8,4,18.7,0,3708
2.3,5.1,11.8,2.7,3654
2.3,4.2,15.1,0.7,3329
2,2.8,18.5,0,3126
1.4,5.4,20.3,0,2406
1.7,8.7,13.9,26.8,2360
3.6,6.3,15.8,0,2360
3.5,5,16,0.4,2360
3.4,6.3,18.8,0.3,2304
1.4,9.8,15.3,11.9,2225
1.7,8.2,16.8,2.4,2243
